Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Gossaigaon,Anjali Das,Indian National Congress,91857,927,92784,44.57,208175,92784,92784,True
Gossaigaon,Anita Roy,All India United Democratic Front,31423,317,31740,15.25,208175,31740,92784,False
Gossaigaon,Deepa Reddy,None of the Above,23925,241,24166,11.61,208175,24166,92784,False
Gossaigaon,Priya Roy,Bharatiya Janata Party,13614,137,13751,6.61,208175,13751,92784,False
Gossaigaon,Ramesh Sen,Independent,2302,23,2325,1.12,208175,2325,92784,False
Gossaigaon,Priya Reddy,Asom Gana Parishad,1845,18,1863,0.89,208175,1863,92784,False
Dotma,Amit Das,Bharatiya Janata Party,66733,674,67407,30.26,222731,67407,67407,True
Dotma,Kavita Nair,Asom Gana Parishad,50954,514,51468,23.11,222731,51468,67407,False
Dotma,Suresh Sen,None of the Above,25676,259,25935,11.64,222731,25935,67407,False
Dotma,Amit Bora,All India United Democratic Front,16430,165,16595,7.45,222731,16595,67407,False
Dotma,Rahul Reddy,Indian National Congress,8793,88,8881,3.99,222731,8881,67407,False
Dotma,Priya Sharma,Independent,4428,44,4472,2.01,222731,4472,67407,False
Kokrajhar,Rahul Nair,Asom Gana Parishad,66446,671,67117,29.57,226997,67117,67117,True
Kokrajhar,Priya Patel,All India United Democratic Front,31651,319,31970,14.08,226997,31970,67117,False
Kokrajhar,Anjali Das,Bharatiya Janata Party,29328,296,29624,13.05,226997,29624,67117,False
Kokrajhar,Suresh Nair,None of the Above,23923,241,24164,10.65,226997,24164,67117,False
Kokrajhar,Amit Patel,Indian National Congress,5796,58,5854,2.58,226997,5854,67117,False
Kokrajhar,Kavita Nair,Independent,3874,39,3913,1.72,226997,3913,67117,False
Baokhungri,Sanjay Nair,Bharatiya Janata Party,47351,478,47829,29.31,163195,47829,47829,True
Baokhungri,Suresh Menon,All India United Democratic Front,22956,231,23187,14.21,163195,23187,47829,False
Baokhungri,Manoj Kumar,None of the Above,16882,170,17052,10.45,163195,17052,47829,False
Baokhungri,Anita Sen,Indian National Congress,6264,63,6327,3.88,163195,6327,47829,False
Baokhungri,Priya Reddy,Independent,2677,27,2704,1.66,163195,2704,47829,False
Baokhungri,Sunil Singh,Asom Gana Parishad,2498,25,2523,1.55,163195,2523,47829,False
Parbatjhora,Rahul Bora,All India United Democratic Front,46516,469,46985,29.19,160954,46985,46985,True
Parbatjhora,Deepa Bora,Asom Gana Parishad,33041,333,33374,20.74,160954,33374,46985,False
Parbatjhora,Sunil Roy,None of the Above,20555,207,20762,12.9,160954,20762,46985,False
Parbatjhora,Deepa Gogoi,Indian National Congress,18970,191,19161,11.9,160954,19161,46985,False
Parbatjhora,Ramesh Gogoi,Bharatiya Janata Party,8741,88,8829,5.49,160954,8829,46985,False
Parbatjhora,Amit Bora,Independent,1984,20,2004,1.25,160954,2004,46985,False
Golakganj,Ramesh Kumar,Bharatiya Janata Party,67409,680,68089,41.84,162733,68089,68089,True
Golakganj,Sanjay Nair,Asom Gana Parishad,41572,419,41991,25.8,162733,41991,68089,False
Golakganj,Sunil Roy,Indian National Congress,23342,235,23577,14.49,162733,23577,68089,False
Golakganj,Ramesh Nair,None of the Above,5247,53,5300,3.26,162733,5300,68089,False
Golakganj,Sanjay Das,All India United Democratic Front,3852,38,3890,2.39,162733,3890,68089,False
