Constituency,Tot_Constituency_votes_polled,Cons_vote_pct,Tot_parties_competed,District,Reserved,Lok_sabha_constituency,State_Name
Manjeshwaram,217614,0.4999,5,Kannur,GENERAL,Kannur_LS,Kerala
Kasaragod,244078,0.48,6,Thiruvananthapuram,GENERAL,Thiruvananthapuram_LS,Kerala
Udma,158250,0.6841,6,Wayanad,GENERAL,Wayanad_LS,Kerala
Kanhangad,246777,0.437,7,Thiruvananthapuram,SC,Thiruvananthapuram_LS,Kerala
Thrikaripur,180069,0.5966,6,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Payyanur,229326,0.5967,6,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Kalliasseri,161557,0.6632,6,Wayanad,SC,Wayanad_LS,Kerala
Taliparamba,170540,0.5365,7,Kozhikode,GENERAL,Kozhikode_LS,Kerala
Irikkur,224866,0.5077,6,Kannur,GENERAL,Kannur_LS,Kerala
Azhikode,198143,0.3077,5,Kozhikode,ST,Kozhikode_LS,Kerala
Kannur,220890,0.6997,7,Alappuzha,ST,Alappuzha_LS,Kerala
Dharmadom,197113,0.6837,6,Kozhikode,ST,Kozhikode_LS,Kerala
Thalassery,236405,0.3448,6,Wayanad,ST,Wayanad_LS,Kerala
Kuthuparamba,190050,0.3831,7,Ernakulam,GENERAL,Ernakulam_LS,Kerala
Mattanur,168179,0.4685,7,Thiruvananthapuram,GENERAL,Thiruvananthapuram_LS,Kerala
Peravoor,189212,0.4246,6,Kozhikode,GENERAL,Kozhikode_LS,Kerala
Mananthavady,226261,0.4584,6,Thiruvananthapuram,SC,Thiruvananthapuram_LS,Kerala
Sulthan Bathery,162356,0.3886,6,Thiruvananthapuram,SC,Thiruvananthapuram_LS,Kerala
Kalpetta,161987,0.5509,5,Kollam,GENERAL,Kollam_LS,Kerala
Vatakara,236322,0.4102,6,Wayanad,SC,Wayanad_LS,Kerala
Kuttiady,189234,0.4364,5,Kannur,ST,Kannur_LS,Kerala
Nadapuram,174652,0.323,5,Alappuzha,SC,Alappuzha_LS,Kerala
Koyilandy,157490,0.6276,7,Ernakulam,GENERAL,Ernakulam_LS,Kerala
Perambra,186085,0.6077,5,Wayanad,SC,Wayanad_LS,Kerala
Balussery,175174,0.5387,7,Kannur,ST,Kannur_LS,Kerala
Elathur,171622,0.4822,6,Thiruvananthapuram,ST,Thiruvananthapuram_LS,Kerala
Kozhikode North,238443,0.4046,5,Thiruvananthapuram,GENERAL,Thiruvananthapuram_LS,Kerala
Kozhikode South,176564,0.4632,7,Kollam,SC,Kollam_LS,Kerala
Beypore,155813,0.4734,6,Kozhikode,ST,Kozhikode_LS,Kerala
Kunnamangalam,151762,0.3183,7,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Koduvally,204277,0.6865,7,Kozhikode,GENERAL,Kozhikode_LS,Kerala
Thiruvambady,241754,0.3983,5,Kollam,ST,Kollam_LS,Kerala
Kondotty,198935,0.6124,5,Alappuzha,SC,Alappuzha_LS,Kerala
Eranad,153133,0.4145,6,Kannur,GENERAL,Kannur_LS,Kerala
Nilambur,209421,0.3448,6,Alappuzha,SC,Alappuzha_LS,Kerala
Wandoor,153918,0.6468,5,Kannur,SC,Kannur_LS,Kerala
Manjeri,187935,0.4086,6,Kannur,GENERAL,Kannur_LS,Kerala
Perinthalmanna,154787,0.4041,7,Wayanad,GENERAL,Wayanad_LS,Kerala
Mankada,159545,0.4001,6,Kollam,GENERAL,Kollam_LS,Kerala
Malappuram,214823,0.3174,7,Kollam,GENERAL,Kollam_LS,Kerala
Vengara,187080,0.3354,7,Ernakulam,GENERAL,Ernakulam_LS,Kerala
Vallikkunnu,221011,0.4868,7,Kozhikode,SC,Kozhikode_LS,Kerala
Tirurangadi,248198,0.4648,6,Ernakulam,ST,Ernakulam_LS,Kerala
Tanur,186994,0.4077,5,Kozhikode,ST,Kozhikode_LS,Kerala
Tirur,184189,0.5858,6,Kollam,ST,Kollam_LS,Kerala
Kottakkal,177803,0.6082,7,Kannur,SC,Kannur_LS,Kerala
Thavanur,156454,0.6484,6,Ernakulam,ST,Ernakulam_LS,Kerala
Ponnani,237810,0.5827,7,Kollam,GENERAL,Kollam_LS,Kerala
Thrithala,164951,0.3075,5,Kollam,SC,Kollam_LS,Kerala
Pattambi,235085,0.5194,7,Kozhikode,GENERAL,Kozhikode_LS,Kerala
Shornur,189279,0.5102,6,Wayanad,GENERAL,Wayanad_LS,Kerala
Ottapalam,234559,0.4273,7,Ernakulam,SC,Ernakulam_LS,Kerala
Kongad,211718,0.4712,6,Thiruvananthapuram,SC,Thiruvananthapuram_LS,Kerala
Mannarkkad,184031,0.4188,5,Alappuzha,ST,Alappuzha_LS,Kerala
Malampuzha,221301,0.5618,7,Kollam,ST,Kollam_LS,Kerala
Palakkad,182243,0.5099,6,Kollam,GENERAL,Kollam_LS,Kerala
Tarur,242950,0.4815,7,Alappuzha,ST,Alappuzha_LS,Kerala
Chittur,205575,0.364,5,Kollam,SC,Kollam_LS,Kerala
Nenmara,196963,0.3619,6,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Alathur,184822,0.3056,5,Kannur,SC,Kannur_LS,Kerala
Chelakkara,158209,0.3359,7,Kannur,ST,Kannur_LS,Kerala
Kunnamkulam,199850,0.4313,6,Thiruvananthapuram,GENERAL,Thiruvananthapuram_LS,Kerala
Guruvayur,244475,0.6932,7,Alappuzha,ST,Alappuzha_LS,Kerala
Manalur,220281,0.3133,5,Kozhikode,ST,Kozhikode_LS,Kerala
Wadakkanchery,162008,0.5625,5,Alappuzha,ST,Alappuzha_LS,Kerala
Ollur,167919,0.4535,7,Kozhikode,ST,Kozhikode_LS,Kerala
Thrissur,206706,0.4395,6,Kannur,ST,Kannur_LS,Kerala
Nattika,176572,0.3699,5,Ernakulam,GENERAL,Ernakulam_LS,Kerala
Kaipamangalam,231975,0.6015,7,Ernakulam,ST,Ernakulam_LS,Kerala
Irinjalakuda,161558,0.3101,7,Wayanad,ST,Wayanad_LS,Kerala
Puthukkad,245479,0.6202,7,Kollam,SC,Kollam_LS,Kerala
Chalakudy,225868,0.5049,5,Ernakulam,SC,Ernakulam_LS,Kerala
Kodungallur,165670,0.512,7,Thiruvananthapuram,GENERAL,Thiruvananthapuram_LS,Kerala
Perumbavoor,151787,0.3061,7,Kollam,GENERAL,Kollam_LS,Kerala
Angamaly,215246,0.4772,7,Kozhikode,ST,Kozhikode_LS,Kerala
Aluva,208405,0.4153,7,Alappuzha,SC,Alappuzha_LS,Kerala
Kalamassery,153625,0.4449,7,Alappuzha,ST,Alappuzha_LS,Kerala
Paravur,202657,0.395,6,Kollam,GENERAL,Kollam_LS,Kerala
Vypin,186172,0.6932,7,Kollam,ST,Kollam_LS,Kerala
Kochi,178313,0.605,5,Ernakulam,ST,Ernakulam_LS,Kerala
Thrippunithura,195357,0.4303,6,Ernakulam,SC,Ernakulam_LS,Kerala
Ernakulam,184200,0.5693,7,Kollam,GENERAL,Kollam_LS,Kerala
Thrikkakara,191019,0.5296,5,Kannur,ST,Kannur_LS,Kerala
Kunnathunad,240934,0.6894,5,Ernakulam,ST,Ernakulam_LS,Kerala
Piravom,244327,0.6267,5,Kollam,SC,Kollam_LS,Kerala
Muvattupuzha,191123,0.4992,5,Thiruvananthapuram,ST,Thiruvananthapuram_LS,Kerala
Kothamangalam,244794,0.5912,6,Kozhikode,ST,Kozhikode_LS,Kerala
Devikulam,151346,0.5764,5,Alappuzha,ST,Alappuzha_LS,Kerala
Udumbanchola,192022,0.5536,6,Kannur,SC,Kannur_LS,Kerala
Thodupuzha,182358,0.6135,6,Kozhikode,ST,Kozhikode_LS,Kerala
Idukki,244345,0.4534,5,Ernakulam,ST,Ernakulam_LS,Kerala
Peerumade,189116,0.3855,5,Kozhikode,GENERAL,Kozhikode_LS,Kerala
Pala,233506,0.5415,5,Kozhikode,ST,Kozhikode_LS,Kerala
Kaduthuruthy,238218,0.5901,6,Alappuzha,ST,Alappuzha_LS,Kerala
Vaikom,232041,0.5535,5,Kollam,GENERAL,Kollam_LS,Kerala
Ettumanoor,186207,0.4927,5,Wayanad,SC,Wayanad_LS,Kerala
Kottayam,208981,0.459,5,Kozhikode,ST,Kozhikode_LS,Kerala
Puthuppally,179300,0.6101,7,Kollam,GENERAL,Kollam_LS,Kerala
Changanassery,182588,0.6005,6,Kannur,ST,Kannur_LS,Kerala
Kanjirappally,150649,0.338,5,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Poonjar,201100,0.5505,5,Ernakulam,SC,Ernakulam_LS,Kerala
Aroor,205352,0.4065,7,Thiruvananthapuram,SC,Thiruvananthapuram_LS,Kerala
Cherthala,202649,0.3488,5,Kollam,SC,Kollam_LS,Kerala
Alappuzha,246919,0.5365,7,Wayanad,ST,Wayanad_LS,Kerala
Ambalappuzha,193477,0.4002,5,Ernakulam,SC,Ernakulam_LS,Kerala
Kuttanad,153650,0.603,6,Kollam,ST,Kollam_LS,Kerala
Haripad,182614,0.6905,7,Thiruvananthapuram,GENERAL,Thiruvananthapuram_LS,Kerala
Kayamkulam,180360,0.3533,5,Ernakulam,ST,Ernakulam_LS,Kerala
Mavelikara,193892,0.5184,6,Kozhikode,ST,Kozhikode_LS,Kerala
Chengannur,203677,0.4616,5,Wayanad,SC,Wayanad_LS,Kerala
Thiruvalla,157959,0.6482,5,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Ranni,170609,0.3198,5,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Aranmula,192395,0.5093,5,Kannur,GENERAL,Kannur_LS,Kerala
Konni,153497,0.3409,7,Ernakulam,ST,Ernakulam_LS,Kerala
Adoor,229140,0.4703,6,Ernakulam,ST,Ernakulam_LS,Kerala
Karunagapally,234797,0.5512,6,Ernakulam,ST,Ernakulam_LS,Kerala
Chavara,246812,0.3313,7,Alappuzha,ST,Alappuzha_LS,Kerala
Kunnathur,222455,0.5695,5,Ernakulam,SC,Ernakulam_LS,Kerala
Kottarakkara,223693,0.4912,5,Alappuzha,SC,Alappuzha_LS,Kerala
Pathanapuram,172653,0.4615,7,Ernakulam,GENERAL,Ernakulam_LS,Kerala
Punalur,215891,0.675,7,Kollam,ST,Kollam_LS,Kerala
Chadayamangalam,181752,0.4396,6,Alappuzha,SC,Alappuzha_LS,Kerala
Kundara,182887,0.6165,7,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Kollam,206240,0.592,5,Alappuzha,ST,Alappuzha_LS,Kerala
Eravipuram,186936,0.632,7,Ernakulam,GENERAL,Ernakulam_LS,Kerala
Chathannoor,200743,0.6867,5,Alappuzha,SC,Alappuzha_LS,Kerala
Varkala,249108,0.6507,5,Alappuzha,GENERAL,Alappuzha_LS,Kerala
Attingal,203211,0.6326,6,Ernakulam,GENERAL,Ernakulam_LS,Kerala
Chirayinkeezhu,159336,0.3315,5,Alappuzha,ST,Alappuzha_LS,Kerala
Nedumangad,224167,0.4401,5,Thiruvananthapuram,GENERAL,Thiruvananthapuram_LS,Kerala
Vamanapuram,213206,0.3612,7,Thiruvananthapuram,SC,Thiruvananthapuram_LS,Kerala
Kazhakkoottam,240107,0.6283,7,Ernakulam,SC,Ernakulam_LS,Kerala
Vattiyoorkavu,194394,0.3929,7,Alappuzha,ST,Alappuzha_LS,Kerala
Thiruvananthapuram,198759,0.3098,6,Ernakulam,SC,Ernakulam_LS,Kerala
Nemom,226013,0.6429,7,Kollam,ST,Kollam_LS,Kerala
Aruvikkara,175935,0.3259,5,Kannur,GENERAL,Kannur_LS,Kerala
Parassala,156976,0.3386,7,Ernakulam,GENERAL,Ernakulam_LS,Kerala
